pcap_file,pcap_path,packet_count,icmp_count,arp_count,tcp_count,udp_count,tcp_syn_count,tcp_rst_count,total_bytes,duration_seconds,unique_src_ips,unique_dst_ips,attack_class,attack_type
nmap-scan-test.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/nmap-scan-test.pcap,2004,0,2,2002,0,1000,1000,74,5.196395,2,2,reconnaissance,nmap_syn_scan
normal-ping-test.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/normal-ping-test.pcap,22,20,2,0,0,0,0,1354,9.0121,2,2,normal,icmp_ping
traffic-20260624-023151.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-023151.pcap,24,20,4,0,0,0,0,1428,9.012768,2,2,normal,icmp_ping_auto
traffic-20260624-023538.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-023538.pcap,44,40,4,0,0,0,0,2708,19.030388,2,2,normal,icmp_ping_auto
traffic-20260624-031200.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-031200.pcap,3,0,3,0,0,0,0,138,4.000498,0,0,unknown,unlabeled
traffic-20260624-031455.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-031455.pcap,1,0,0,0,1,0,0,607,0.0,1,1,unknown,unlabeled
traffic-20260624-040300.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-040300.pcap,3,0,3,0,0,0,0,138,4.000222,0,0,unknown,unlabeled
traffic-20260624-131056.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-131056.pcap,240,0,0,240,0,20,0,220080,19.399457,2,2,reconnaissance,possible_syn_scan
traffic-20260624-131226.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-131226.pcap,104,0,2,102,0,50,50,74,5.219279,2,2,reconnaissance,possible_syn_scan
traffic-20260624-131357.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-131357.pcap,204,0,2,202,0,100,100,74,5.307374,2,2,reconnaissance,possible_syn_scan
traffic-20260624-131507.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-131507.pcap,2100,0,2,2098,0,1009,1000,43376,6.201571,2,2,reconnaissance,possible_syn_scan
traffic-20260624-141914.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-141914.pcap,24,20,4,0,0,0,0,1428,9.073053,2,2,normal,icmp_ping_auto
traffic-20260624-141948.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-141948.pcap,120,0,0,120,0,10,0,110040,9.194757,2,2,unknown,unlabeled
traffic-20260624-142023.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-142023.pcap,104,0,2,102,0,50,50,74,5.410167,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143123.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143123.pcap,204,0,2,202,0,100,100,74,5.133982,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143149.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143149.pcap,20,20,0,0,0,0,0,1280,9.180918,2,2,normal,icmp_ping_auto
traffic-20260624-143223.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143223.pcap,120,0,0,120,0,10,0,110040,9.183976,2,2,unknown,unlabeled
traffic-20260624-143258.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143258.pcap,102,0,0,102,0,50,50,0,0.002182,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143323.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143323.pcap,204,0,2,202,0,100,100,74,5.070181,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143348.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143348.pcap,22,20,2,0,0,0,0,1354,9.07836,2,2,normal,icmp_ping_auto
traffic-20260624-143423.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143423.pcap,120,0,0,120,0,10,0,110040,9.182328,2,2,unknown,unlabeled
traffic-20260624-143458.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143458.pcap,104,0,2,102,0,50,50,74,5.257886,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143523.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143523.pcap,202,0,0,202,0,100,100,0,0.004098,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143548.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143548.pcap,22,20,2,0,0,0,0,1354,9.192554,2,2,normal,icmp_ping_auto
traffic-20260624-143622.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143622.pcap,120,0,0,120,0,10,0,110040,9.181768,2,2,unknown,unlabeled
traffic-20260624-143658.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143658.pcap,104,0,2,102,0,50,50,74,5.137859,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143723.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143723.pcap,202,0,0,202,0,100,100,0,0.003447,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143748.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143748.pcap,22,20,2,0,0,0,0,1354,9.136146,2,2,normal,icmp_ping_auto
traffic-20260624-143822.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143822.pcap,120,0,0,120,0,10,0,110040,9.188465,2,2,unknown,unlabeled
traffic-20260624-143858.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143858.pcap,102,0,0,102,0,50,50,0,0.003994,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143923.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143923.pcap,204,0,2,202,0,100,100,74,5.462214,2,2,reconnaissance,possible_syn_scan
traffic-20260624-143948.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-143948.pcap,20,20,0,0,0,0,0,1280,9.192883,2,2,normal,icmp_ping_auto
traffic-20260624-144022.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144022.pcap,120,0,0,120,0,10,0,110040,9.185154,2,2,unknown,unlabeled
traffic-20260624-144058.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144058.pcap,102,0,0,102,0,50,50,0,0.00385,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144123.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144123.pcap,204,0,2,202,0,100,100,74,5.385893,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144148.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144148.pcap,22,20,2,0,0,0,0,1354,9.222143,2,2,normal,icmp_ping_auto
traffic-20260624-144222.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144222.pcap,120,0,0,120,0,10,0,110040,9.186309,2,2,unknown,unlabeled
traffic-20260624-144257.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144257.pcap,102,0,0,102,0,50,50,0,0.001984,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144323.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144323.pcap,204,0,2,202,0,100,100,74,5.250085,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144348.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144348.pcap,22,20,2,0,0,0,0,1354,9.126197,2,2,normal,icmp_ping_auto
traffic-20260624-144422.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144422.pcap,120,0,0,120,0,10,0,110040,9.183751,2,2,unknown,unlabeled
traffic-20260624-144457.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144457.pcap,102,0,0,102,0,50,50,0,0.001957,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144523.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144523.pcap,204,0,2,202,0,100,100,74,5.20988,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144548.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144548.pcap,22,20,2,0,0,0,0,1354,10.284358,2,2,normal,icmp_ping_auto
traffic-20260624-144622.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144622.pcap,120,0,0,120,0,10,0,110040,9.188252,2,2,unknown,unlabeled
traffic-20260624-144657.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144657.pcap,102,0,0,102,0,50,50,0,0.003657,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144722.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144722.pcap,204,0,2,202,0,100,100,74,5.177871,2,2,reconnaissance,possible_syn_scan
traffic-20260624-144747.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144747.pcap,22,20,2,0,0,0,0,1354,9.2253,2,2,normal,icmp_ping_auto
traffic-20260624-144822.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144822.pcap,120,0,0,120,0,10,0,110040,9.187215,2,2,unknown,unlabeled
traffic-20260624-144857.pcap,/home/ubuntu/ML-Network-Intrusion-detection/evidence/pcaps/auto/traffic-20260624-144857.pcap,104,0,2,102,0,50,50,74,5.241699,2,2,reconnaissance,possible_syn_scan
